timestamp,avg,min_v,max_v,nighttime,time_diff_min,T_diff,type,ID
2022-12-07 12:45:00+00:00,58.5,55.9,61.5,False,15,5.600000000000001,forward,S3C1
2022-12-07 13:00:00+00:00,55.5,54.2,56.9,False,15,2.6999999999999957,forward,S3C1
2022-12-07 13:00:00+00:00,56.3,54.2,58.5,False,15,4.299999999999997,forward,S3C1
2022-12-07 13:15:00+00:00,55.6,53.9,57.8,False,15,3.8999999999999986,forward,S3C1
2022-12-07 13:15:00+00:00,57.2,54.4,60.4,False,15,6.0,forward,S3C1
2022-12-07 13:30:00+00:00,56.2,54.3,57.8,False,15,3.5,forward,S3C1
2022-12-07 13:30:00+00:00,57.6,54.4,60.4,False,15,6.0,forward,S3C1
2022-12-07 13:45:00+00:00,57.4,53.9,60.2,False,15,6.300000000000004,forward,S3C1
2022-12-07 13:45:00+00:00,55.9,54.4,57.8,False,15,3.3999999999999986,forward,S3C1
2022-12-07 14:00:00+00:00,56.9,54.1,59.7,False,15,5.600000000000001,forward,S3C1
2022-12-07 14:00:00+00:00,55.5,53.8,57.4,False,15,3.6000000000000014,forward,S3C1
2022-12-07 14:15:00+00:00,56.6,51.8,60.9,False,15,9.100000000000001,forward,S3C1
2022-12-07 14:15:00+00:00,56.0,53.3,59.2,False,15,5.900000000000006,forward,S3C1
2022-12-07 14:30:00+00:00,50.0,47.3,53.6,False,15,6.300000000000004,forward,S3C1
2022-12-07 14:30:00+00:00,50.1,47.6,54.4,False,15,6.799999999999997,forward,S3C1
2022-12-07 14:45:00+00:00,55.0,53.7,56.3,False,15,2.5999999999999943,forward,S3C1
2022-12-07 14:45:00+00:00,54.1,52.5,55.8,False,15,3.299999999999997,forward,S3C1
2022-12-07 15:00:00+00:00,56.9,56.4,57.4,False,15,1.0,forward,S3C1
2022-12-07 15:00:00+00:00,56.4,55.9,57.0,False,15,1.1000000000000014,forward,S3C1
2022-12-07 15:15:00+00:00,57.2,56.9,57.6,False,15,0.7000000000000028,forward,S3C1
2022-12-07 15:15:00+00:00,57.8,57.4,58.2,False,15,0.8000000000000043,forward,S3C1
2022-12-07 15:30:00+00:00,57.6,57.1,58.0,False,15,0.8999999999999986,forward,S3C1
2022-12-07 15:30:00+00:00,58.1,57.7,58.6,False,15,0.8999999999999986,forward,S3C1
2022-12-07 15:45:00+00:00,58.9,58.1,59.8,False,15,1.6999999999999957,forward,S3C1
2022-12-07 15:45:00+00:00,59.4,58.7,60.2,False,15,1.5,forward,S3C1
2022-12-07 16:00:00+00:00,60.2,59.9,60.5,False,15,0.6000000000000014,forward,S3C1
2022-12-07 16:00:00+00:00,60.7,60.3,61.1,False,15,0.8000000000000043,forward,S3C1
2022-12-07 16:15:00+00:00,60.7,60.2,61.3,False,15,1.0999999999999943,forward,S3C1
2022-12-07 16:15:00+00:00,60.3,59.8,60.9,False,15,1.1000000000000014,forward,S3C1
2022-12-07 16:30:00+00:00,62.1,61.4,62.7,False,15,1.3000000000000043,forward,S3C1
2022-12-07 16:30:00+00:00,61.5,61.0,62.0,False,15,1.0,forward,S3C1
2022-12-07 16:45:00+00:00,62.6,62.4,62.8,False,15,0.3999999999999986,forward,S3C1
2022-12-07 16:45:00+00:00,62.1,61.9,62.2,False,15,0.30000000000000426,forward,S3C1
2022-12-07 17:00:00+00:00,61.2,60.2,62.4,False,15,2.1999999999999957,forward,S3C1
2022-12-07 17:00:00+00:00,60.7,59.7,61.8,False,15,2.0999999999999943,forward,S3C1
2022-12-07 17:15:00+00:00,62.4,61.9,62.9,False,15,1.0,forward,S3C1
2022-12-07 17:15:00+00:00,62.0,61.6,62.4,False,15,0.7999999999999972,forward,S3C1
2022-12-07 17:30:00+00:00,63.1,62.6,63.6,False,15,1.0,forward,S3C1
2022-12-07 17:30:00+00:00,63.6,63.1,64.2,False,15,1.1000000000000014,forward,S3C1
2022-12-07 17:45:00+00:00,63.4,63.1,63.7,False,15,0.6000000000000014,forward,S3C1
2022-12-07 17:45:00+00:00,64.0,63.7,64.3,False,15,0.5999999999999943,forward,S3C1
